시군구,성별,연령대,동반자유형,평점
경기 고양시,남,40대,가족이 아닌 경우,4.333333333333333
경기 고양시,남,50대,가족,4.041666666666666
경기 고양시,남,50대,가족이 아닌 경우,4.142857142857143
경기 고양시,남,60대,가족,4.0
경기 고양시,남,60대,가족이 아닌 경우,4.0
경기 고양시,남,70세 이상,가족,3.833333333333333
경기 고양시,남,70세 이상,가족이 아닌 경우,4.111111111111111
경기 고양시,여,15~19세,가족이 아닌 경우,4.0
경기 고양시,여,20대,가족,4.0
경기 고양시,여,20대,가족이 아닌 경우,4.083333333333333
경기 고양시,여,30대,가족,3.9555555555555553
경기 고양시,여,30대,가족이 아닌 경우,4.066666666666667
경기 고양시,여,40대,가족,3.976190476190476
경기 고양시,여,40대,가족이 아닌 경우,4.0
경기 고양시,여,50대,가족,4.083333333333333
경기 고양시,여,50대,가족이 아닌 경우,4.102564102564102
경기 고양시,여,60대,가족,4.095238095238095
경기 고양시,여,60대,가족이 아닌 경우,4.0
경기 고양시,여,70세 이상,가족,3.8666666666666663
경기 고양시,여,70세 이상,가족이 아닌 경우,4.0
경기 과천시,남,15~19세,가족,4.0
경기 과천시,남,15~19세,가족이 아닌 경우,4.0
경기 과천시,남,20대,가족,4.166666666666666
경기 과천시,남,20대,가족이 아닌 경우,4.111111111111111
경기 과천시,남,30대,가족,3.9047619047619047
경기 과천시,남,30대,가족이 아닌 경우,4.0
경기 과천시,남,40대,가족,4.222222222222222
경기 과천시,남,40대,가족이 아닌 경우,4.111111111111111
경기 과천시,남,50대,가족,4.277777777777778
경기 과천시,남,50대,가족이 아닌 경우,3.833333333333333
경기 과천시,남,60대,가족이 아닌 경우,4.333333333333333
경기 과천시,남,70세 이상,가족,4.666666666666667
경기 과천시,여,15~19세,가족,4.0
경기 과천시,여,15~19세,가족이 아닌 경우,4.041666666666666
경기 과천시,여,20대,가족이 아닌 경우,4.066666666666666
경기 과천시,여,30대,가족,3.9222222222222225
경기 과천시,여,30대,가족이 아닌 경우,4.0
경기 과천시,여,40대,가족,3.972222222222222
경기 과천시,여,40대,가족이 아닌 경우,4.0
경기 과천시,여,50대,가족,4.4
경기 과천시,여,50대,가족이 아닌 경우,3.9166666666666665
경기 과천시,여,60대,가족,4.0
경기 과천시,여,60대,가족이 아닌 경우,4.0
경기 과천시,여,70세 이상,가족,4.0
